ClothingType,Color,Vendor,Type,CleanBodyText
Rugby,Navy Stripe,Taylor Stitch,Knits,The Rugby in Dark Navy Stripe from Taylor Stitch
Cotton Hemp Long Sleeve Tee,Dark Forest,Taylor Stitch,Knits,The Cotton Hemp Long Sleeve Tee in Dark Forest from Taylor Stitch
Cotton Hemp Tee,Black Cherry,Taylor Stitch,Knits,The Cotton Hemp Tee in Black Cherry from Taylor Stitch
Yosemite Shirt,Graystone Heather Stripe,Taylor Stitch,Wovens,The Yosemite Shirt in Graystone Heather Stripe from Taylor Stitch
Yosemite Shirt,Burnt Toffee Plaid,Taylor Stitch,Wovens,The Yosemite Shirt in Burnt Toffee Plaid from Taylor Stitch
Yosemite Shirt,Dark Forest Plaid,Taylor Stitch,Wovens,The Yosemite Shirt in Dark Forest Plaid from Taylor Stitch
Yosemite Shirt,soil,Taylor Stitch,Wovens,The Yosemite Shirt in Soil from Taylor Stitch
Yosemite Shirt,Dark Navy,Taylor Stitch,Wovens,The Yosemite Shirt in Dark Navy from Taylor Stitch
California,Dune Plaid Brushed Cotton Twill,Taylor Stitch,Wovens,The California in Dune Plaid Brushed Cotton Twill from Taylor Stitch
California,Twilight Plaid Brushed Cotton Twill,Taylor Stitch,Wovens,The California in Twilight Plaid Brushed Cotton Twill from Taylor Stitch
Jack,Oat Heathered Pincord,Taylor Stitch,Wovens,The Jack in Oat Heathered Pincord from Taylor Stitch
Jack,Pine Heathered Pincord,Taylor Stitch,Wovens,The Jack in Pine Heathered Pincord from Taylor Stitch
Jack,Copper Heathered Pincord,Taylor Stitch,Wovens,The Jack in Copper Heathered Pincord from Taylor Stitch
Shop Shirt,Navy Chipped Canvas,Taylor Stitch,Wovens,The Shop Shirt in Navy Chipped Canvas from Taylor Stitch
Shop Shirt,Soil Chipped Canvas,Taylor Stitch,Wovens,The Shop Shirt in Soil Chipped Canvas from Taylor Stitch
Workhorse Vest,Aged Penny Chipped Canvas,Taylor Stitch,Outerwear,The Workhorse Vest in Aged Penny Chipped Canvas from Taylor Stitch
Workhorse Jacket,Aged Penny Chipped Canvas,Taylor Stitch,Outerwear,The Workhorse Jacket in Aged Penny Chipped Canvas from Taylor Stitch
Port Vest,Coal Marl Boucle Fleece,Taylor Stitch,Outerwear,The Port Vest in Coal Marl Boucle Fleece from Taylor Stitch
Pathfinder Jacket,Fatigue Olive Dry Wax,Taylor Stitch,Outerwear,The Pathfinder Jacket in Fatigue Olive Dry Wax from Taylor Stitch
Pathfinder Jacket,Dark Navy Dry Wax,Taylor Stitch,Outerwear,The Pathfinder Jacket in Dark Navy Dry Wax from Taylor Stitch
